supplement_name,medication_name,severity,description,recommendation,source
Chlorella,Bupropion,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Individual response varies; comorbidities and dose matter.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Horny Goat Weed,Olanzapine,low,Low likelihood of clinically significant interaction. Horny Goat Weed may affect CYP enzymes or transporters impacting Olanzapine. Individual response varies; comorbidities and dose matter.,"Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
SAMe,Esomeprazole,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Iodine (Kelp),Duloxetine,low,"Low likelihood of clinically significant interaction. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Niacinamide,Azithromycin,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Collagen Peptides,Lorazepam,low,"Low likelihood of clinically significant interaction. Individual response varies; comorbidities and dose matter. Absorption may be altered by pH, fiber, minerals, or chelation.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
St. John’s Wort,Metformin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Vitamin D3,Esomeprazole,low,"Low likelihood of clinically significant interaction. Potential additive effects on blood pressure, glycemia, or coagulation. Vitamin D3 may affect CYP enzymes or transporters impacting Esomeprazole.","Monitor for unusual symptoms; generally safe to co-administer. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Beef Liver (Desiccated),Amoxicillin,severe,"Documented risk of serious adverse outcome or loss of therapeutic control. Potential additive effects on blood pressure, glycemia, or coagulation. Beef Liver (Desiccated) may affect CYP enzymes or transporters impacting Amoxicillin.","Do not combine unless a prescriber specifically directs and monitors therapy; seek medical advice. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Calcium Carbonate,Losartan,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Absorption may be altered by pH, fiber, minerals, or chelation. Individual response varies; comorbidities and dose matter.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
Seamoss,Nitrofurantoin,moderate,"Possible pharmacodynamic or pharmacokinetic interaction depending on dose and timing. Seamoss may affect CYP enzymes or transporters impacting Nitrofurantoin. Potential additive effects on blood pressure, glycemia, or coagulation.","Separate dosing by a few hours and monitor response; consult a clinician if adding or changing doses. This is educational information, not medical advice.","Educational synthesis for SafetyBible; general mechanisms (absorption, metabolism, additive effects). Not a substitute for professional medical advice."
